,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,,11.7176730079956,11.7942591060871,11.8708452041785,11.94743130227,11.94743130227,12.001041570934,12.0148270685905,12.0148270685905,12.0393346199798,12.0546518395981,12.100603498453,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,11.9841926293539,11.7988542719726,11.7222681738811,11.7130778421101,11.7712832766596,11.8815672579113,11.7222681738811,11.768219832736,11.768219832736,11.7605612229268,11.9045430873388,11.9719388536593,11.9550899120792,11.938240970499,11.938240970499,11.938240970499,11.9367092485372,11.9367092485372,11.9336458046135,11.9321140826517,11.9244554728426,11.903011365377,11.893821033606,11.8386790429801,,,
ALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,,15.7664233576642,15.9124087591241,16.0583941605839,16.1678832116788,16.7883211678832,17.3357664233577,17.8102189781022,18.2481751824818,18.6131386861314,19.014598540146,19.3430656934307,19.7080291970803,20,20.3284671532847,20.5474452554745,20.985401459854,21.1678832116788,21.2773722627737,21.2773722627737,21.3503649635036,21.4598540145985,21.4963503649635,21.4963503649635,21.4963503649635,21.4963503649635,21.4963503649635,21.5328467153285,21.5328467153285,21.2408759124088,21.1313868613139,21.0948905109489,21.0948905109489,21.0583941605839,21.0583941605839,21.0583941605839,21.0583941605839,21.0948905109489,21.0583941605839,21.0583941605839,21.0948905109489,21.0948905109489,21.0948905109489,21.0948905109489,21.0948905109489,19.6350364963504,21.3138686131387,21.0948905109489,22.2627737226277,22.2262773722628,22.8467153284672,22.7007299270073,22.5948896199247,22.5218969191948,22.4671523936474,22.4489042184649,22.6386856858748,,,
DZA,,2.71734110356294,2.64512499265243,2.60313888165795,2.5745883261817,2.60439846498778,2.61195596496679,2.64554485376238,2.62119290938558,2.61699429828613,2.6232922149353,2.67871388144802,2.73329582574085,2.73413554796073,2.74757110347897,2.87394929757236,2.97765499172874,2.89872110305911,2.89368276973977,2.87436915868231,2.88654513087071,2.89074374197016,2.88906429753038,2.76772443675632,2.9033395752685,2.90124026971878,2.92517235298563,2.9679981862,2.98143374171824,2.9931898527967,2.97303651951934,3.04819165819947,3.17498971340281,3.16281374121441,3.1393015190575,3.15693568567518,3.15777540789507,3.21193749107795,3.21655596328734,3.22159429660668,3.21697582439729,3.18380679671165,3.16869179675363,3.15051189269715,3.14601929681661,3.15357679679562,3.13636249128788,3.13594263017794,3.14433985237683,3.14601929681661,3.14979804680612,3.14979804680612,3.15168742180087,3.14736293437256,3.13611053361985,3.13304562952138,3.10873571225764,,,
ASM,,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6.0000002384186,6.0000002384186,6.0000002384186,7.5,10,10,12.0000004768371,12.5,12.5,12.5,12.5,16.6999995708466,16.4999997615814,16.4999997615814,16.4999997615814,15,14.8000001907348,15,15,15,15,15,15,15,15,,,
AND,,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,2.12765957446809,1.59574468085106,1.80851068902523,1.82978726447897,1.72340426039189,1.70212768493815,1.65957440721228,1.63829783175854,1.6170212563048,1.63829783175854,1.63829783175854,1.63829783175854,1.6170212563048,1.72340426039189,1.72340426039189,1.72340426039189,1.65957440721228,,,
AGO,,2.14165396647148,2.16571749418465,2.18175984599342,2.20582337370659,2.22186572551536,2.24592925322852,2.26999278094169,2.29405630865485,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.3261410122724,2.36624689179434,2.40635277131627,2.40635277131627,2.40635277131627,2.40635277131627,2.40635277131627,2.40635277131627,2.40635277131627,2.40635277131627,2.40635277131627,2.40635277131627,2.48656453036015,2.6469880484479,2.6469880484479,2.6469880484479,2.6469880484479,2.72719980749178,2.72719980749178,3.20847036175503,3.28868212079891,3.76995267506216,3.76995267506216,3.93037619314992,3.93037619314992,3.93037619314992,3.93037619314992,,,
AIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,18.1818181818182,15.9090909090909,18.1818181818182,15.9090909090909,18.1818181818182,18.1818181818182,15.9090909090909,15.9090909090909,18.1818181818182,18.1818181818182,15.9090909090909,6.81818181818182,6.81818181818182,6.81818181818182,6.81818181818182,6.81818181818182,6.81818181818182,6.81818181818182,6.81818181818182,6.81818181818182,6.81818181818182,6.81818181818182,6.81818181818182,6.81818181818182,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,9.09090909090909,,,
ARG,,6.79543536169606,7.00846643207671,7.1619364999324,7.30809846931878,7.47655013903657,7.89566958625201,8.16351139515254,8.71527282958611,9.46289130299742,9.50052801011441,9.50052801011441,9.50052801011441,9.50052801011441,9.50052801011441,9.50052801011441,9.50052801011441,9.50052801011441,9.50052801011441,9.50052801011441,9.50052801011441,9.50052801011441,9.86593293358035,9.86593293358035,9.86593293358035,9.86593293358035,9.86593293358035,9.79285194888716,9.63463161702641,9.6722683241434,9.71063584110732,9.74900335807125,9.78737087503517,9.82573839199909,9.86520212373342,9.90430045054427,9.94339877735513,9.98286250908945,10.0212300260534,10.0603283528642,10.0997920845985,10.1385250064859,10.180911977608,10.4810921222353,11.2453365196643,12.0209084697207,12.7358232024818,13.3127975766345,12.8845430063325,12.530465635494,13.8784443981598,14.1707683369326,14.5263073274649,14.5062100566743,14.3238729998648,14.3238729998648,14.3238729998648,,,
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8577449947313,15.2089919213207,15.2792413066386,15.2792413066386,15.8061116965227,15.9817351598174,15.9817351598174,15.8061116965227,15.8061116965227,15.9817351598174,15.9817351598174,15.9817351598174,15.9817351598174,15.9817351598174,15.9079730908495,15.8798737654906,15.8201613592021,15.7850366665432,15.7534246575342,15.7780123711637,15.7499119738842,15.7428876785048,15.7182999648753,15.6902006395164,15.6796625885663,,,
ABW,,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,,,
AUS,,3.92916183955326,4.17882665347617,4.30001431862854,4.60539161449045,4.81184020410554,5.15652864376554,5.37313044270596,5.38770940994234,5.40202803847806,5.41686734441508,5.3512619918514,5.28695833279096,5.23489059266105,5.48286320502974,5.49653098681384,5.47700558426513,5.34826809679393,5.53454043710868,5.71859989846791,5.73148666415006,5.59910443486977,6.036473451961,5.83379977350533,6.12837301329029,6.13748486781302,6.09361779675358,6.11027947359515,6.11795946526431,6.20907801049165,6.2351118805566,5.9487393098421,6.14399333532926,6.02684092003697,6.15701027036174,5.2194004399724,4.72306470718405,5.18998216679901,5.73461072855785,5.92661052028689,6.15753094776304,6.48334483162594,6.2219647761738,6.1231662392773,6.21467529255561,6.43062624474441,6.21103055074652,5.74567512333546,5.72471785793317,5.93780508441482,5.54104890462492,6.2062142847845,6.13266860185101,6.01629720266066,6.11236218320034,6.00419145308046,5.98646389374963,,,
AUT,,20.4528941632356,20.3560184063938,20.053281666263,20.0653911358683,20.1017195446839,19.5689028820538,19.3751513683701,19.3872608379753,19.1935093242916,19.2056187938968,19.2177282635021,19.2298377331073,18.3337369823202,18.3337369823202,18.2974085735045,18.4063937999516,18.5153790263986,18.7333494792928,18.4427222087673,18.6001453136353,18.7575684185033,18.58803584403,17.4255267619278,17.4981835795592,17.5345119883749,17.4255267619278,17.4255267619278,17.6556066844272,17.6677161540325,17.2681036570598,17.4981835795592,17.3891983531121,17.1833373698232,17.2317752482441,17.122790021797,17.0743521433761,17.0259142649552,17.0016953257447,16.9774763865343,16.9411479777186,16.7958343424558,16.7716154032453,16.711431694077,16.7025920177783,16.7195440926602,16.6771609490419,16.6630341319115,16.5782657896707,16.5492020623968,16.5166960960443,16.4678242743351,16.4147092989556,16.4047459560056,16.3796757651011,16.3118161899707,16.2923066545726,,,
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.4825932200744,20.618383365873,20.7121133318023,20.7445595048057,21.4475408502878,21.6446147890124,21.7794722552574,22.0651716874924,22.1003568256878,22.222893133065,22.2384963599057,22.2438653215282,22.2650946836337,22.298571874811,22.281786673149,22.4376418975537,22.513220947157,22.6816096887025,22.7944742623265,22.8132787598183,22.9475682165985,23.2920789973681,23.3054697448495,23.4409590379614,24.1804765936857,,,
BHS,,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.799200799200799,0.799200799200799,0.799200799200799,0.799200799200799,0.799200799200799,0.799200799200799,0.799200799200799,0.799200799200799,0.799200799200799,0.599400599400599,0.599400599400599,0.599400599400599,0.599400599400599,0.599400599400599,0.599400599400599,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.699300699300699,0.899100899100899,0.899100899100899,0.799200799200799,0.799200799200799,0.799200799200799,0.799200799200799,0.799200799200799,0.799200799200799,,,
BHR,,1.44927536231884,1.44927536231884,1.44927536231884,1.44927536231884,1.44927536231884,1.44927536231884,1.44927536231884,1.44927536231884,1.44927536231884,1.44927536231884,1.44927536231884,1.44927536231884,1.44927536231884,1.44927536231884,1.44927536231884,2.89855072463768,2.89855072463768,2.89855072463768,2.89855072463768,2.89855072463768,2.89855072463768,2.89855072463768,2.89855072463768,2.89855072463768,2.89855072463768,2.89855072463768,2.89855072463768,2.89855072463768,2.89855072463768,2.89855072463768,2.89855072463768,2.8169014084507,2.8169014084507,2.8169014084507,2.8169014084507,2.8169014084507,2.8169014084507,2.8169014084507,2.8169014084507,2.8169014084507,2.8169014084507,2.8169014084507,2.3611111773385,2.05479452054795,2.02702702702703,1.95945952389692,1.86666663487752,1.57894743116279,1.78947370303304,2.09973764818998,2.08604965776146,2.07792210888553,2.07792210888553,2.07522704994463,2.05655521989817,2.05655521989817,,,
BGD,,66.1058615656449,66.0444034723823,66.1058615656449,66.374740723669,67.427210570792,67.5885380656065,67.934239840209,67.8266881769993,67.6807252055005,67.888146270262,67.888146270262,70.1620957209803,70.1467311976646,70.1467311976646,70.2466005992164,70.2005070292694,70.1467311976646,70.1006376277176,70.0468617961128,70.0699085810863,69.9777214411923,69.9393101329031,69.8240762080356,70.5615733271875,70.3080586924791,70.3771990473996,70.9456864100791,73.2657294307444,73.3886456172697,72.64346623646,72.0980256587539,66.1365906122763,65.3453176615196,64.592456019052,64.5617269724207,64.2006606745026,64.454175309211,64.9458400553123,64.8075593454713,64.1468848428977,63.7858185449796,63.401705462088,63.2096489206422,62.5566566797265,60.7743719751095,60.5362218637167,60.0445571176154,59.9446877160636,59.8909118844588,59.8525005761696,58.9844050088346,58.9229469155719,58.9844050088346,58.9152646539141,59.4010926816855,59.646692486268,,,
BRB,,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,37.2093023255814,34.8837209302326,34.8837209302326,34.8837209302326,32.5581395348837,32.5581395348837,30.2325581395349,30.2325581395349,30.2325581395349,30.2325581395349,30.2325581395349,30.2325581395349,27.906976744186,25.5813953488372,23.2558139534884,22.093023255814,20.9302325581395,18.6046511627907,16.2790697674419,,,
BLR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.9940840070992,30.0926838887793,30.6892131729442,30.7237231315322,30.7138631433642,30.4427134687438,30.5018733977519,30.4772234273319,30.2356537172155,28.4016959179649,27.6882118029877,27.4564906572006,27.355653074306,27.3233742543016,27.3040906850665,27.200591424347,27.1858058156727,27.3345823883246,27.2794480039428,27.2485338327337,27.2140357794096,27.4001024171013,27.8958279166199,27.9705174148138,28.0006679504812,,,
BEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.4676354029062,27.9062087186262,27.4768824306473,27.5759577278732,27.7410832232497,27.8401585204756,27.8071334214003,27.7080581241744,27.8731836195509,27.7410832232497,27.5429326287979,27.2457067371202,26.5191545574637,26.9484808454425,26.9815059445178,27.3943196829591,28.0515199608343,,,
BLZ,,1.57825515124945,1.57825515124945,1.62209557211749,1.62209557211749,1.62209557211749,1.66593599298553,1.66593599298553,1.66593599298553,1.70977641385357,1.70977641385357,1.75361683472161,1.75361683472161,1.79745725558965,1.79745725558965,1.84129767645769,1.84129767645769,1.88513809732573,1.88513809732573,1.88513809732573,1.97281893906181,2.01665935992986,2.01665935992986,2.01665935992986,2.01665935992986,1.88513809732573,1.92897851819377,2.14818062253398,2.19202104340202,2.2797018851381,2.2797018851381,2.36738272687418,2.45506356861026,2.63042525208242,2.63042525208242,2.7181060938185,2.76194651468654,2.80578693555458,2.80578693555458,2.80578693555458,2.80578693555458,2.84962735642262,3.06882946076282,3.06882946076282,3.06882946076282,3.06882946076282,3.06882946076282,3.06882946076282,3.06882946076282,3.20035072336694,3.28803156510303,3.28803156510303,3.41955282770715,3.41955282770715,3.41955282770715,3.41955282770715,3.41955282770715,,,
BEN,,8.15892160340546,8.33628946434906,8.51365732529266,8.69102518623625,8.86839304717985,9.13444483859525,9.48918056048244,9.75523235189783,10.4647037956722,10.6420716566158,11.0854913089748,11.3515431003902,11.5289109613338,11.7949627527492,12.1496984746364,12.4157502660518,12.6818020574672,12.8591699184108,13.0365377793544,13.3025895707698,13.5686413621852,13.7460092231288,13.8346931536006,13.9233770840724,14.0120610145442,14.100744945016,14.1894288754878,14.2781128059596,14.3667967364314,14.3224547711955,14.3667967364314,14.4554806669032,14.6328485278468,15.0762681802057,15.8744235544519,17.2933664420007,18.6236253990777,19.9538843561547,20.3973040085137,21.106775452288,21.7275629655906,22.6144022703086,23.5012415750266,24.3880808797446,23.9446612273856,22.1709826179496,22.1709826179496,23.0578219226676,21.7275629655906,22.5257183398368,22.880454061724,23.9446612273856,23.9446612273856,23.9446612273856,23.9446612273856,23.9446612273856,,,
BMU,,7.40740738696685,5.55555567819886,5.55555567819886,7.40740738696685,7.40740738696685,7.40740738696685,7.40740738696685,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,7.40740738696685,7.40740738696685,7.40740738696685,7.40740738696685,7.40740738696685,7.40740738696685,7.40740738696685,7.40740738696685,7.40740738696685,7.40740738696685,7.40740738696685,7.40740738696685,7.40740738696685,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,5.55555567819886,,,
BTN,,2.14027361642493,2.14027361642493,2.14027361642493,2.14027361642493,2.14027361642493,2.14027361642493,2.14027361642493,2.14027361642493,2.14027361642493,2.35430097806742,2.35430097806742,2.35430097806742,2.35430097806742,2.46131465888867,2.46131465888867,2.56832833970991,2.56832833970991,2.56832833970991,2.67534202053116,2.78235570135241,2.78235570135241,2.88936938217365,3.10339674381615,3.10339674381615,3.10339674381615,3.10339674381615,3.12479947998039,3.01778579915915,2.84656390984515,2.88936938217365,2.88936938217365,2.88936938217365,2.9107721183379,3.51758793969849,3.66834170854271,3.79396984924623,3.84422110552764,3.84422110552764,3.84422110552764,2.66331658291457,2.78894472361809,2.78894472361809,2.78894472361809,4.14513214639111,4.3812472686539,3.96935763543618,3.57583243166487,2.62350135847539,2.62350135847539,2.63924232659478,2.62874828112943,2.62874828112943,2.62874828112943,2.62874828112943,2.62874828112943,2.62164436242134,,,
BOL,,1.19449829225515,1.19634450290778,1.20372934551832,1.23788424259208,1.26926982368688,1.30527093141327,1.33665651250808,1.37358072556079,1.40958183328718,1.44373673036093,1.46866057417151,1.50835410320318,1.54897073756116,1.57943321332964,1.61728053170867,1.66805132465614,1.70312932705622,1.73266869749838,1.76313117326687,1.79359364903535,1.82774854610911,1.86282654850919,1.89328902427767,1.93205944798301,1.89236591895135,1.90159697221453,1.91082802547771,1.92005907874088,1.92929013200406,1.93852118526724,1.94775223853042,1.98467645158313,2.03083171789901,2.16929751684667,2.40007384842611,2.4831533277947,2.65115849718453,2.74531524046894,2.83393335179544,2.90224314594295,2.90778177790086,3.04624757684852,3.24379211668051,3.30379396289117,3.51333887196529,3.60472629927075,3.85027231607126,3.93796732207145,4.11151112341918,3.9665835871873,4.00443090556633,4.08197175297702,4.1595126003877,4.12628080864027,4.08843349026124,4.11058801809286,,,
BES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BIH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.6015625,16.6015625,16.6015625,16.6015625,17.578125,17.578125,18.5546875,18.5546875,19.53125,19.7265625,19.47265625,19.86328125,20.078125,20.01953125,20.05859375,19.9609375,19.6875,19.47265625,19.609375,19.62890625,19.58984375,19.70703125,19.6484375,19.9609375,20.0390625,,,
BWA,,0.70403896035149,0.70403896035149,0.70403896035149,0.70403896035149,0.70580346902405,0.70580346902405,0.70580346902405,0.70580346902405,0.70580346902405,0.70580346902405,0.70580346902405,0.70756797769661,0.70756797769661,0.70756797769661,0.70756797769661,0.70756797769661,0.70756797769661,0.70756797769661,0.711096995041731,0.711096995041731,0.711096995041731,0.714626012386851,0.714626012386851,0.714626012386851,0.718155029731971,0.718155029731971,0.721684047077091,0.721684047077091,0.730506590439892,0.741093642475253,0.529352601768038,0.441127168140031,0.617578035396044,0.69698092566125,0.608755492033243,0.608755492033243,0.529352601768038,0.405836994688829,0.42348208141443,0.617578035396044,0.352901734512025,0.432304624777231,0.344079191149224,0.398778959998588,0.42348208141443,0.354666243184585,0.321140578405943,0.492297919644275,0.557584740529,0.457007746193072,0.571700809909481,0.502884971679636,0.488768902299155,0.70403896035149,0.458066462166316,0.458066462166316,,,
BVT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,,2.64628254611672,2.87145226090972,3.11073994931887,3.23038379352344,3.35002763772801,3.46967148193258,3.58931532613715,3.8286030145463,3.94824685875087,4.18753454716001,4.42682223556916,4.54646607977373,4.6661099239783,4.90539761238745,5.02504145659202,5.14468530079659,5.26432914500116,5.26432914500116,5.37200860478528,5.38397298920573,5.45575929572848,5.62326067761488,5.62326067761488,5.63522506203533,5.65915383087625,5.86254836602402,5.92237028812631,5.95826344138768,5.97022782580813,6.0636696681319,6.22124061094933,6.19791006132944,6.25306587350774,6.31061456257014,6.94640195067324,6.92235353798812,6.9139784688938,6.90550759125236,6.90904923598432,6.91259041335752,7.06748152100826,7.35857499395799,7.7330602263183,8.17490494296578,8.27420933365558,8.31979363829752,8.18220321746226,8.40498005537117,8.42771238577004,8.41849980976629,8.64701955219702,8.68698059616135,9.18410076883134,9.69198888747975,9.75252867264726,9.68827992830941,,,
IOT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
