,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.861273115,,,,,,,,,,4.861273115,,,,,,,,,,4.861273115,,,,,,,,,
DZA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025005944,,,,,,,,,,0.025005944,,,,,,,,,,0.025005944,,,,,,,,,
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.555491658,,,,,,,,,,3.555491658,,,,,,,,,,3.555491658,,,,,,,,,
AND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.125723662,,,,,,,,,,0.125723662,,,,,,,,,,0.125723662,,,,,,,,,
AIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.209488904,,,,,,,,,,13.209488904,,,,,,,,,,13.209488904,,,,,,,,,
ARG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.892866497,,,,,,,,,,0.892866497,,,,,,,,,,0.892866497,,,,,,,,,
ARM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.07036754,,,,,,,,,,7.07036754,,,,,,,,,,7.07036754,,,,,,,,,
AUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.600587901,,,,,,,,,,0.600587901,,,,,,,,,,0.600587901,,,,,,,,,
AUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AZE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
