,year,country,Net migration,tas,pr,Arable land (%25 of land area),Population growth (annual %25),"Population, total"
0,1960-01-01,AFG,-20000.0,12.6412362,25.636089999999996,11.8325521551328,1.9626011846889522,9361162.0
1,1965-01-01,AFG,-20000.0,12.632744800000001,25.1681756,12.003492326072958,2.229195146581392,10412384.2
2,1970-01-01,AFG,-20000.0,12.6454526,22.4866556,12.100603498453001,2.6109733103522403,11792443.0
3,1975-01-01,AFG,-1153959.0,12.8663286,24.010647799999997,12.1159207180713,1.546783178123894,13111162.6
4,1980-01-01,AFG,-3345095.0,13.047761399999999,25.372434199999997,12.1159207180713,-1.8858349649426507,12830546.8
5,1985-01-01,AFG,-1525351.0,13.2941833,22.6893794,12.1159207180713,-0.5573619451962026,11753160.6
6,1990-01-01,AFG,3076383.0,13.087135,26.6353324,12.026161811108079,7.27476771054847,14617840.2
7,1995-01-01,AFG,-867540.0,13.159607600000001,23.222826599999998,11.76209294488864,3.33160427993349,19245965.8
8,2000-01-01,AFG,744193.0,14.176535999999999,19.510757,11.83469656587938,4.072895779534786,22679053.2
9,2005-01-01,AFG,-1046361.0,14.196176,24.8965902,11.94130441442268,2.76647006501114,27060990.2
10,2010-01-01,AFG,521769.0,13.670753333333332,28.89042866666667,11.934156378600798,3.0990963854924636,30154765.333333332
11,1960-01-01,ALB,-99.0,11.525200199999999,87.90179900000001,15.97627737226275,3.005488824177664,1711335.0
12,1965-01-01,ALB,-99.0,11.221733400000002,84.9403322,17.75912408759126,2.7514739122600003,1969785.8
13,1970-01-01,ALB,-99.0,11.015799999999999,82.943002,19.67883211678834,2.425712540318498,2242666.8
14,1975-01-01,ALB,-99.0,10.982400199999999,82.1844686,21.05109489051094,2.157568031684374,2512200.2
15,1980-01-01,ALB,-99.0,10.9729332,78.38366699999999,21.459854014598523,2.077806380380382,2786144.0
16,1985-01-01,ALB,-99.0,11.376400299999998,73.877264,21.45985401459856,2.112165578691102,3088256.2
17,1990-01-01,ALB,-443212.0,11.5291334,67.578001,21.087591240875902,-0.126841022401955,3247038.8
18,1995-01-01,ALB,-179606.0,11.5407336,80.8344,21.0656934306569,-0.6254663641734922,3148281.2
19,2000-01-01,ALB,-176774.0,12.087266600000001,74.55006879999999,21.0948905109489,-0.5335569011915082,3053353.0
20,2005-01-01,ALB,-217358.0,11.8581334,82.725865,21.306569343065696,-0.6679314244575474,2969776.8
21,2010-01-01,ALB,-136590.0,12.610417,83.49560333333334,22.714111625133068,-0.31021011175789137,2906205.6666666665
22,1960-01-01,DZA,-282941.0,22.500218999999998,7.0797014,2.635048326013755,2.504388432055032,11629701.6
23,1965-01-01,DZA,-121335.0,22.468649399999997,6.99090286,2.620017298277732,2.8049067852629057,13290768.6
24,1970-01-01,DZA,-253436.0,22.153118,6.988281720000001,2.703401714712774,2.76806644678927,15296415.0
25,1975-01-01,DZA,-224833.0,22.3479328,7.213459420000001,2.903675464156458,2.8773860944024223,17605298.6
26,1980-01-01,DZA,-81020.0,22.682579799999996,6.351098,2.867483436479214,3.0901743944665903,20472863.6
27,1985-01-01,DZA,-93302.0,22.9385798,6.670964840000001,2.95380688068387,2.857534570135558,23771566.4
28,1990-01-01,DZA,-128679.0,22.7626244,6.5987010800000006,3.099666630278706,2.333917382661948,27007392.6
29,1995-01-01,DZA,-164413.0,23.271115599999995,7.06863004,3.192959768908444,1.6390864023634741,29716665.8
30,2000-01-01,DZA,-205228.0,23.5547174,6.55875806,3.1732011214752656,1.307415340800576,31861035.6
31,2005-01-01,DZA,-357340.0,23.4130896,7.608114860000001,3.143248213490976,1.5541383950620142,34204437.4
32,2010-01-01,DZA,-143268.0,23.773788,8.547169466666666,3.1504278384710367,1.8799159128740666,36674262.0
33,1960-01-01,AGO,-296717.0,21.432020200000004,85.898706,2.173738670089035,1.2754868723514343,5601889.2
34,1965-01-01,AGO,-587286.0,21.515599599999998,87.2246192,2.271597016122564,0.2364674394781105,5780186.6
35,1970-01-01,AGO,199800.0,21.6299244,78.125058,2.3261410122724,3.0561643303687243,6287607.2
36,1975-01-01,AGO,199800.0,21.703073800000002,84.182164,2.3261410122724,3.508933804406376,7537203.6
37,1980-01-01,AGO,234148.0,21.8155582,71.25188699999998,2.3261410122724,3.53250184474318,8965507.0
38,1985-01-01,AGO,188491.0,21.9011674,79.08708179999999,2.3261410122724,3.5021610908895218,10698837.0
39,1990-01-01,AGO,142812.0,21.952779000000003,77.639802,2.38228924360311,3.2912070850801243,12666689.8
40,1995-01-01,AGO,199800.0,22.1699416,79.53832419999999,2.40635277131627,3.2253204420055055,14888793.0
41,2000-01-01,AGO,261100.0,22.0798646,82.70580399999999,2.518649233977698,3.3478966700651562,17548053.4
42,2005-01-01,AGO,357301.0,21.958509799999998,82.7772252,2.7913692147268776,3.6504352177105064,20939756.2
43,2010-01-01,AGO,166267.0,22.02409366666667,84.09065199999999,3.60952915697441,3.6344651115280633,24228279.333333332
44,1960-01-01,ATG,-1880.0,25.7574994,196.53250200000002,17.04545454545455,1.5948697259471438,55863.2
45,1965-01-01,ATG,-1202.0,25.931667000000004,190.985834,17.27272727272728,1.9518575518296877,61185.0
46,1970-01-01,ATG,-7018.0,25.8533338,188.093334,10.909090909090912,-0.13578642195688664,63887.4
47,1975-01-01,ATG,-4428.0,25.951667199999996,189.55083600000003,6.81818181818182,-0.3735556976701388,62237.8
48,1980-01-01,ATG,-3763.0,26.409166400000004,193.53916399999997,6.81818181818182,-0.05366180141452459,61803.4
49,1985-01-01,ATG,-2890.0,26.464166400000003,189.68583399999997,9.09090909090909,0.07173214791649783,61807.2
50,1990-01-01,ATG,2231.0,26.8283342,170.449166,9.09090909090909,1.6093872117589136,64669.4
51,1995-01-01,ATG,2469.0,26.996666400000002,180.725838,9.09090909090909,2.107984061655622,71689.0
52,2000-01-01,ATG,252.0,26.7983334,177.33583199999998,9.09090909090909,1.4617173328482458,78231.8
53,2005-01-01,ATG,1887.0,26.393334,178.67083199999996,9.09090909090909,1.5353293792291258,84067.6
54,1960-01-01,ARG,122000.0,13.8711974,43.1950924,7.068484190755987,1.600169229246016,21153086.8
55,1965-01-01,ARG,130000.0,14.0404856,43.9006622,8.34277905060493,1.494395785944636,22833686.4
56,1970-01-01,ARG,142000.0,13.769508400000001,44.80583219999999,9.50052801011441,1.588989212780612,24662415.4
57,1975-01-01,ARG,-230000.0,13.936708,47.772255400000006,9.50052801011441,1.51866415768806,26664787.6
58,1980-01-01,ARG,140000.0,13.9756023,49.013042399999996,9.719770964193975,1.5852595169368222,28805746.2
59,1985-01-01,ARG,160000.0,14.166460800000001,45.9192274,9.766323551443534,1.559184389024184,31183348.2
60,1990-01-01,ARG,-105000.0,14.1921636,49.9051568,9.78759011798925,1.3555965443539502,33519952.0
61,1995-01-01,ARG,-128000.0,14.1251366,46.5725114,9.98242402318129,1.16558968508017,35652530.0
62,2000-01-01,ARG,-125000.0,14.071778600000002,51.07968079999999,10.4291315421184,1.0807196006909,37681605.6
63,2005-01-01,ARG,-120000.0,14.2055064,44.0272118,12.6969075781327,1.0085439211063083,39686010.4
64,2010-01-01,ARG,30000.0,14.231242666666667,49.110047,14.191840020852434,1.0140593420408168,41261071.333333336
65,1990-01-01,ARM,-496288.0,7.2533332999999995,39.664321,15.115326074230202,-1.4833879969464085,3426604.2
66,1995-01-01,ARM,-223873.0,8.377530799999999,36.4420382,15.770987003863763,-1.2221249952182283,3143273.4
67,2000-01-01,ARM,-160521.0,8.334629600000001,42.7812976,15.946610467158461,-0.5800455216867142,3034581.6
68,2005-01-01,ARM,-183361.0,8.164444400000002,40.9249388,15.87495600838056,-0.7651236678769697,2933580.8
69,2010-01-01,ARM,-30535.0,8.736018833333333,47.744075,15.760449667527368,-0.044615220078752606,2879362.0
70,1960-01-01,ABW,-4323.0,27.901666799999997,60.028333399999994,11.1111111111111,1.6441808457948697,55920.2
71,1965-01-01,ABW,-4275.0,27.9616674,63.779999399999994,11.1111111111111,0.5854009021488271,58048.4
72,1970-01-01,ABW,-3537.0,27.628333199999997,66.4133328,11.1111111111111,0.6044701793581003,59822.8
73,1975-01-01,ABW,-5470.0,27.7616666,55.421666800000004,11.1111111111111,-0.18189789139620718,60338.4
74,1980-01-01,ABW,-1921.0,27.994999800000006,62.05166799999999,11.1111111111111,0.9303396863366024,61409.0
75,1985-01-01,ABW,-5194.0,27.805000199999995,71.9700016,11.1111111111111,-0.5825968169953015,61922.8
76,1990-01-01,ABW,14218.0,28.2116666,63.878333999999995,11.1111111111111,4.570067831705646,68842.0
77,1995-01-01,ABW,6926.0,28.598332999999997,75.09999880000001,11.1111111111111,2.9758167911237217,85051.4
78,2000-01-01,ABW,6263.0,28.2849998,65.4133334,11.1111111111111,2.075344032323518,94899.4
79,2005-01-01,ABW,-441.0,28.134999600000004,70.1049988,11.1111111111111,0.5431120174803075,100980.0
80,1960-01-01,AUS,384343.0,21.2721146,38.0536766,4.253348606537105,2.115492377574926,10723695.4
81,1965-01-01,AUS,806193.0,21.254188199999998,36.1254504,5.226247347799488,1.8724719663246798,11822000.0
82,1970-01-01,AUS,259531.0,21.3521298,42.2729126,5.3545682933496455,2.249733170152144,13144800.0
83,1975-01-01,AUS,235744.0,21.2599318,42.3231472,5.514989000689898,1.1208088713689779,14198000.0
84,1980-01-01,AUS,453572.0,21.616111800000002,40.1598704,5.86584746755529,1.3712202243838783,15142000.0
85,1985-01-01,AUS,654209.0,21.650229999999997,37.059492,6.133683922783542,1.5712190010811202,16277380.0
86,1990-01-01,AUS,351078.0,21.7497476,35.912698400000004,6.102339143225334,1.200958378344332,17473220.0
87,1995-01-01,AUS,388419.0,21.7043978,42.6798802,5.35873371256004,1.1650611407925822,18507400.0
88,2000-01-01,AUS,589282.0,21.6531092,39.7742262,6.240136417479138,1.230908655333992,19648040.0
89,2005-01-01,AUS,1210802.0,21.829782,37.467919800000004,6.009970972234877,1.496952560940691,20972240.0
90,2010-01-01,AUS,989375.0,21.35160466666667,51.22028,5.959977263753476,1.56361230178719,22368413.0
91,1960-01-01,AUT,15996.0,6.02863186,93.31196399999999,20.231896342940175,0.5962156889696998,7132662.8
92,1965-01-01,AUT,50401.0,6.163532340000001,98.4368648,19.525308791474938,0.5926274239505592,7365282.2
93,1970-01-01,AUT,82001.0,6.16796016,91.2709938,18.864131751029323,0.4201804093135778,7539384.4
94,1975-01-01,AUT,5502.0,6.29728848,92.70818299999999,18.47905061758296,-0.13100517825658364,7564917.6
95,1980-01-01,AUT,18002.0,6.32273652,87.504402,18.173891983531117,0.03178906646738082,7563125.4
96,1985-01-01,AUT,110999.0,6.4404973399999985,95.447936,17.54177767013804,0.15317378386709307,7582849.8
97,1990-01-01,AUT,227841.0,7.21345748,91.6698528,17.31411964155968,0.8140938977324511,7823040.2
98,1995-01-01,AUT,65082.0,6.79594534,101.377242,17.04044562848146,0.14114684482809461,7968889.8
99,2000-01-01,AUT,178117.0,7.34748754,95.66413200000001,16.784524287055,0.444558706669196,8085841.0
100,2005-01-01,AUT,153763.0,7.3456716,96.95111899999999,16.637441405136222,0.4150412372503144,8291355.2
101,2010-01-01,AUT,267172.0,7.434722400000001,92.85130833333334,16.466409889778333,0.344470871217107,8395012.666666666
102,1990-01-01,AZE,-115116.0,10.7311022,34.0899996,20.604363305916568,1.2775948241647659,7380800.0
103,1995-01-01,AZE,-111849.0,11.8643009,31.318520799999998,21.536271817371137,0.9905906220907988,7836400.0
104,2000-01-01,AZE,36523.0,11.9476883,36.0634678,22.214141264764077,0.7951075443754352,8174470.0
