,,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
ABW,Arable land (% of land area),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111,11.1111111111111
ABW,Forest area (% of land area),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321,2.33333326048321
ABW,Net migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4323,,,,,-4275,,,,,-3537,,,,,-5470,,,,,-1921,,,,,-5194,,,,,14218,,,,,6926,,,,,6263,,,,,-441,,,,,1253
ABW,Population growth (annual %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.148036835756,2.23814393117093,1.40962186505264,0.832452557842366,0.592649039152412,0.573468247603765,0.616990877551069,0.587373201209392,0.568529798893749,0.580642385486161,0.572211190382563,0.636272958290957,0.670693325671808,0.671204938221066,0.471968484224108,0.212897716260001,-0.117120177026253,-0.36378107450423,-0.436627543728453,-0.204858377982101,0.193211026493461,0.780690671039871,1.27634779469497,1.38574085431692,1.01570808513779,0.301918202997092,-0.607943306347674,-1.30307040749174,-1.22690942840459,-0.0769791457295957,1.81364109347592,3.90201823649442,5.44027196024455,6.06841030624035,5.62599756207299,4.61667471270029,3.51788923269496,2.66957644161067,2.11438565551552,1.96055791309717,2.0550267831539,2.22593013018195,2.22905604655647,2.10935433511798,1.75735286660729,1.30203884024471,0.799546240315869,0.384052418046932,0.134267963699872,0.0956546250941544,0.210708807602047,0.370125351972654,0.502430115702537
ABW,"Population, total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54211,55438,56225,56695,57032,57360,57715,58055,58386,58726,59063,59440,59840,60243,60528,60657,60586,60366,60103,59980,60096,60567,61345,62201,62836,63026,62644,61833,61079,61032,62149,64622,68235,72504,76700,80324,83200,85451,87277,89005,90853,92898,94992,97017,98737,100031,100834,101222,101358,101455,101669,102046,102560
ABW,Total greenhouse gas emissions (kt of CO2 equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.3062976,42.7869478,43.2866131,43.7245901,44.130957,44.4819076,131.6337457,135.0553194,358.990001,409.505485,424.783771,519.001013,564.023574,530.385687,571.038292,642.147964,435.85886,616.928696,,,,,,,,,,,,,,,,,,,,,,,,,
ABW,pr,72.441666,71.75833,73.183334,75.29167,74.816666,66.34167,69.61667,74.88333,69.6,72.48333,99.25,97.775,79.625,78.08333,68.308334,89.525,70.4,69.816666,50.358334,65.35833,62.95,71.79167,69.29167,68.025,58.69167,104.175,92.4,59.30833,52.74167,51.55,63.86667,80.4,96.691666,61.7,84.075,81.375,71.15,91.60833,90.45,70.79167,33.541664,94.51667,62.85,85.91667,64.60833,59.15,36.425,53.94167,91.01667,85.51667,45.225,60.825,51.05,59.916668,74.525,62.466667,46.083336,50.458336,41.991665,52.38333,69.86667,55.466667,58.99167,63.43333,49.783333,101.558334,54.725,41.55,71.28333,102.441666,46.991665,47.258335,72.70833,62.666668,67.39167,48.308334,46.625,46.025,68.75833,64.95,74.34167,45.266666,44.858334,80.84167,89.558334,55.36667,62.725,101.64167,50.558334,88.51667,42.625,64.15833,62.275,61.81667,69.73333,84.8,44.608334,75.6,100.75833,63.708332,51.783333,51.708332,60.89167,98.975,88.58333,48.9,79.65833,87.09167,46.291664,,,
ABW,tas,27.633335,27.491665,27.608334,27.375,27.525,27.483334,27.375,27.55,27.375,27.4,27.45,27.591665,27.291666,27.391666,28.133335,27.666666,27.258335,27.2,27.375,27.408335,27.166666,27.033335,27.225,27.616665,27.341665,27.866665,27.158335,27.433334,27.441666,27.441666,27.891666,27.616665,28.366665,28.375,28.175,28.325,27.958334,27.816666,27.95,28.666666,28.85,28.4,28.175,27.891666,27.625,27.741665,28.375,27.65,27.25,27.05,27.925,28.141666,28.066666,27.65,27.083334,27.433334,27.633335,28.458334,27.975,27.925,27.725,27.991665,28.108334,27.758335,27.833334,27.958334,27.733334,27.9,28.383335,27.766666,27.325,27.891666,27.833334,27.325,27.366665,27.425,28.083334,28.075,27.858334,28.1,27.866665,27.825,28.35,27.833334,27.525,27.75,28.258335,27.6,27.891666,28.1,28.125,28.091665,28.308334,28.433334,28.608334,28.466665,28.808334,28.791666,28.316666,28.258335,28.591665,28.341665,28.275,27.958334,28.0,28.166666,28.316666,27.916666,28.275,,,
AFG,Arable land (% of land area),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.7176730079956,11.7942591060871,11.8708452041785,11.94743130227,11.94743130227,12.001041570934,12.0148270685905,12.0148270685905,12.0393346199798,12.0546518395981,12.100603498453,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,12.1159207180713,11.9841926293539,11.7988542719726,11.7222681738811,11.7130778421101,11.7712832766596,11.8815672579113,11.7222681738811,11.768219832736,11.768219832736,11.7605612229268,11.9045430873388,11.9719388536593,11.9550899120792,11.938240970499,11.938240970499,11.938240970499,11.9367092485372,11.9367092485372,11.9336458046135,11.9321140826517
AFG,Forest area (% of land area),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981,2.06782464846981
AFG,Net migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-20000,,,,,-20000,,,,,-20000,,,,,-1153959,,,,,-3345095,,,,,-1525351,,,,,3076383,,,,,-867540,,,,,744193,,,,,-1046361,,,,,521769
AFG,Population growth (annual %),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.82863870207012,1.89847565283934,1.96575051142112,2.02989338459837,2.09024767251581,2.14756657671872,2.17100878515664,2.18810774747517,2.25457212371635,2.38472049984008,2.53659948895689,2.66519232885823,2.71452275236408,2.65911595143119,2.47943603015081,2.20078031913849,1.98142011036831,1.74783888214604,1.28161659455905,0.52225998440758,-0.407546008918242,-1.3935442488808,-2.21965641097275,-2.71294766241586,-2.6954804935256,-2.20436802009669,-1.70677200088966,-1.12804091251677,0.116016612231607,2.1363545952905,4.47689650838849,6.90015617480998,8.54612019554754,8.79088864126614,7.6597770327302,5.88425681193136,4.01946819541008,2.63653889246912,1.9473185295401,2.17043897031679,2.97505284644171,3.90280570094654,4.49671956064979,4.66836149396509,4.3215392956708,3.68273179651497,2.99047809385985,2.49384229934363,2.26827714453847,2.39702099079878,2.74657628012835,3.14312590262153,3.40758697372751
AFG,"Population, total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8996973,9169410,9351441,9543205,9744781,9956320,10174836,10399926,10637063,10893776,11173642,11475445,11791215,12108963,12412950,12689160,12943093,13171306,13341198,13411056,13356511,13171673,12882528,12537730,12204292,11938208,11736179,11604534,11618005,11868877,12412308,13299017,14485546,15816603,17075727,18110657,18853437,19357126,19737765,20170844,20779953,21606988,22600770,23680871,24726684,25654277,26433049,27100536,27722276,28394813,29185507,30117413,31161376
AFG,Total greenhouse gas emissions (kt of CO2 equivalent),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14306.6163,14391.7782,13040.848,13535.7541,14945.9682,14574.164,14746.851,15247.281,15112.318,14923.075,15691.266,15810.335,15615.333,15322.53,14278.7921,13545.7369,12269.4624,12400.5073,12959.2948,12348.957,12528.0165,12307.0638,11370.4531,11390.8748,11290.6882,11635.6594,12505.9308,13343.25,13793.367,14812.366,13530.953,12585.402,13842.7381,14709.884,14654.374,14770.2643,14849.1594,15272.633,15288.7756,15554.4294997907,17791.3299018728,17981.3072867677,18168.86
