,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,19.954466,18.801144,23.728622,23.42922,21.574781,22.08464,23.882217,24.557707,21.518084,24.796732,23.034586,21.507435,22.202288,26.632135,21.807055,22.228106,16.718273,21.789024,22.72955,23.215277,22.763317,23.09676,24.962254,26.91792,18.1311,24.082762,20.160892,22.904003,21.206753,23.985212,25.016123,24.053703,24.809505,24.097223,24.015768,22.991858,24.39243,24.728077,26.70885,21.962091,25.009449,25.684286,24.226145,24.394062,25.724049,19.831127,21.030092,20.455038,22.094418,22.135294,25.86468,22.341885,25.14793,24.695995,21.095316,26.912827,36.541256,24.217783,31.640686,29.366913,26.614109,21.46977,22.726063,28.003595,26.470072,23.573692,25.88889,26.285349,23.622875,18.376062,16.146324,30.655691,22.981155,24.274046,22.743055,27.44251,20.65422,23.792702,25.420752,26.491232,27.206371,28.342373,22.573175,22.24902,18.740742,25.221651,20.28709,25.534151,23.663263,24.912771,30.05629,29.194447,23.990414,25.02274,21.540142,23.144989,22.808443,27.055227,21.565332,14.919798,15.161547,21.539978,27.54281,18.389652,26.901306,23.833824,24.966476,19.671432,29.109913,26.058004,28.744762,31.86852
ALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,94.73167,91.62767,79.166,77.86867,67.165665,87.11633,82.220665,62.243336,90.46266,78.31033,67.80167,79.32167,67.136665,83.806,103.43733,83.082664,77.90833,73.29033,90.083664,75.205666,51.823334,67.23866,94.01833,74.39467,70.431335,61.243664,97.003006,92.06334,76.183334,94.81166,87.53467,68.25467,104.423325,83.23333,89.253334,82.224335,113.12633,83.95967,111.12234,92.887,85.23033,89.45433,78.537,99.651665,71.42967,71.356,73.808334,63.005665,90.507,91.211334,89.05034,81.954666,59.327003,92.527664,97.94334,86.37434,79.77133,95.094666,90.084,98.219,71.61833,93.015335,95.10833,81.548,75.173996,97.099335,77.232666,81.40133,93.794334,79.577,78.60667,81.875,87.37767,87.27867,56.939003,90.162,66.88533,89.56567,107.37034,88.85733,85.585335,75.93467,66.22867,75.31233,76.43166,77.651,89.017334,66.37633,59.909996,59.08567,72.02367,61.37633,69.363335,76.041,80.50633,94.78367,67.94067,76.321,84.62033,70.82667,66.78,76.336334,75.97267,82.83467,75.910995,77.04366,81.79167,73.312,105.571,109.11632,57.04757,84.32292
DZA,9.086229,8.284088,6.7302866,8.947877,8.052203,7.6678925,7.1055527,7.9004974,6.3706913,7.130677,8.256716,6.605979,4.874165,6.764206,7.896704,7.903074,6.785661,7.4783583,7.2749557,6.2558455,7.4154854,6.3734365,8.221971,6.1565475,7.2956376,5.553571,7.1078176,8.050463,7.1272383,6.783591,6.238442,6.278687,7.6812987,8.219696,7.616187,7.7361054,5.2482586,6.9548683,7.1206374,6.731681,6.503154,7.043586,7.867404,5.6461177,5.4587865,6.9711885,5.560483,6.3587866,7.1533494,7.0527983,7.1726103,7.291809,6.660119,7.948508,7.447033,7.19443,8.487713,6.741436,7.2325425,6.999218,5.0493784,7.666107,7.4779406,8.205863,7.266391,5.4303217,7.0339556,7.525258,7.698588,5.8190656,7.336212,8.31735,6.878829,6.589952,7.3368783,9.2132635,6.099547,5.9360166,7.4815917,7.4164176,5.4608207,7.8392944,4.2483563,6.790601,6.9228234,7.6297355,6.233662,6.449147,6.1194563,6.5284204,6.863317,7.230757,6.331281,6.03973,7.0975037,9.12213,6.534009,5.457436,7.1320715,4.9818053,5.797246,6.2144547,8.234106,7.5661783,5.9821606,7.570656,7.5663557,8.65732,8.264082,8.614675,9.133665,7.8931684
ASM,215.86667,189.99167,255.64168,267.93332,156.85834,187.51666,255.66667,331.19168,161.93333,235.36667,177.59166,173.7,268.6,220.58333,194.79166,293.4167,253.90833,200.61667,187.10834,261.05,246.29167,269.275,286.975,250.55832,214.64168,212.10832,266.28333,264.63333,230.39168,194.74167,254.625,252.23332,270.4583,244.55832,265.00833,222.80832,233.05832,279.7083,289.35,174.59166,175.38333,227.60832,169.975,229.44168,257.875,249.14168,255.175,286.38333,214.2,316.60834,194.95,197.65834,178.725,287.64166,275.325,223.86667,221.79167,216.30832,311.875,237.425,235.35832,297.425,250.275,279.96667,216.13333,264.30832,261.09167,226.81668,243.16667,265.63333,187.75,260.7917,270.00833,191.83334,243.66667,214.075,188.61667,307.75833,216.66667,279.14166,320.69168,206.19168,174.41666,233.99167,225.00833,295.05832,191.19167,246.725,240.44168,206.31668,256.225,270.61667,253.83333,305.2917,214.41667,229.30832,176.68333,103.63334,230.875,219.55832,190.09166,209.60832,243.40833,188.65834,292.7083,309.3,297.68332,244.19168,256.13333,,,
AND,65.8375,74.06458,55.46875,48.277084,73.325,67.89792,77.08542,71.225,61.49583,73.6375,62.01875,54.385418,75.26667,83.1875,89.69583,69.01042,67.325,70.15417,75.28125,76.03125,67.78333,70.70625,72.98542,62.375,67.47708,77.29167,71.65417,53.177082,58.91875,84.61667,59.447918,89.379166,65.120834,64.39375,71.40417,86.82292,63.604168,68.57083,77.14792,66.62292,74.98542,56.466667,73.71875,67.84167,56.225,70.54167,70.36042,63.92083,58.96875,51.058334,89.80625,69.825,61.825,57.38333,83.22917,63.94375,70.95833,65.70208,88.86667,90.34167,64.925,81.50625,94.0625,81.95625,81.10833,76.74375,63.2375,79.08125,83.30625,66.95625,84.3,90.96875,54.26458,77.35833,70.91458,73.325,89.09583,62.5125,80.00625,61.314583,69.97708,82.3375,65.6625,69.99375,54.37083,49.585415,73.04792,80.25625,61.310417,61.02292,70.691666,72.214584,79.7125,62.23125,57.3875,84.83333,61.41458,56.69583,61.64375,69.99375,59.9875,76.7875,63.9125,63.62083,54.82917,58.59792,54.479168,72.03958,62.08125,,,
AGO,78.029625,78.282394,80.56601,73.865105,73.36043,81.684944,75.55528,79.05168,89.592445,80.32159,76.87444,86.10497,74.686,67.893745,72.611984,88.326195,77.85364,79.85248,76.11062,77.94877,78.392624,75.82947,90.73011,80.369316,82.11708,81.61461,84.121635,73.74479,80.49763,71.259094,77.19704,71.98008,79.19203,89.059715,79.76726,73.98694,88.6219,84.26419,78.487854,74.540436,71.09505,70.59248,79.64064,89.05776,93.15273,76.327255,79.80099,79.16478,75.20253,92.64504,92.38258,81.32635,76.9719,85.77233,81.12966,80.40585,91.50725,70.603325,80.33822,87.94044,96.05539,84.92543,85.99748,74.57479,71.23384,86.3351,94.43657,87.747086,96.3705,77.69527,78.143265,71.965225,79.34657,83.47496,82.966576,83.83704,86.94585,79.053154,88.1082,70.7795,65.806915,74.9788,70.74023,73.95399,74.40843,85.20312,73.42308,86.831184,75.569595,76.75372,86.63637,71.14638,78.23042,75.43212,69.149086,77.26442,84.20849,82.94345,84.126175,83.74648,81.2052,83.89324,81.87717,82.80693,79.52709,84.2995,82.70208,82.951546,84.40591,84.175186,84.19026,83.90651
AIA,200.60834,160.43333,141.35,130.29166,174.64166,128.50833,149.03334,141.475,159.525,147.06667,131.06667,108.433334,120.71666,124.041664,130.04166,154.34166,124.458336,108.99166,137.1,114.416664,131.25,116.13334,110.13334,129.425,113.85,106.433334,148.325,140.11667,124.566666,120.816666,170.625,152.41666,142.00833,114.808334,132.29166,148.9,102.03333,125.291664,108.8,134.18333,132.075,150.6,129.65834,131.85834,105.083336,135.525,115.558334,132.33334,127.75834,128.18333,140.275,151.80833,119.63334,116.35834,118.475,135.35834,117.61666,155.375,111.35834,148.83334,126.09166,131.9,125.575,115.058334,121.925,132.18333,92.16667,108.025,155.975,176.60834,106.84166,120.3,102.525,121.066666,113.36666,107.03334,128.725,114.75,168.2,108.55,160.59166,131.05,123.75,134.10834,124.933334,118.566666,154.33334,127.00834,122.15834,119.441666,103.6,126.625,116.458336,102.583336,130.76666,111.49166,93.16667,151.675,134.16666,98.13333,114.65,107.60834,131.24167,148.58334,145.90834,134.61667,115.46666,129.28334,135.5,,,
ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,364.6875,300.17084,250.5625,192.075,344.1625,190.15416,301.67917,254.75418,279.57083,262.3333,196.09584,177.3,187.96666,189.2625,195.44167,212.675,188.22084,176.39166,199.075,181.61667,195.18333,183.61667,177.375,192.70416,180.75417,174.53334,211.74582,200.36667,186.9375,186.75417,227.44168,210.425,203.85,173.52916,192.325,208.32918,163.8,191.03334,170.33334,188.99167,191.66666,212.69168,188.55417,191.55,171.34166,190.225,172.97916,198.72084,187.87917,193.2625,219.25418,220.72917,198.90416,172.74583,180.29166,219.68332,181.16666,217.5125,162.90834,190.04584,197.29584,197.8125,208.45,189.05833,188.1875,223.6375,157.0,174.74167,211.3625,260.30417,150.36667,200.57083,134.85,194.375,178.0625,176.67084,174.43333,183.13333,235.45418,177.47916,250.68332,187.75,157.175,194.60834,181.80417,175.6375,220.45,198.4875,172.05,186.82916,155.82083,189.9625,174.04584,145.5875,190.60834,183.875,132.19167,205.57918,191.375,143.60416,171.125,162.55417,189.0,220.39583,212.38333,183.7,144.25,183.7125,169.30833,,,
