                              ,importance
country_USA                   ,0.2657001819569033
"Population, total"           ,0.1471561233976145
Population growth (annual %25),0.112061517192434
tas                           ,0.08107629972223003
Arable land (%25 of land area),0.05780725695017346
country_RUS                   ,0.04732537668066777
pr                            ,0.03363731032319617
country_MEX                   ,0.0321964182477531
country_DEU                   ,0.03065568228998732
country_AFG                   ,0.014920937312779194
country_ESP                   ,0.014251235899647694
country_SAU                   ,0.013764341546381668
country_PHL                   ,0.012400374059989694
country_GBR                   ,0.0111221520195884
country_ITA                   ,0.010616412299979887
country_BGD                   ,0.008742297665942651
year_2010                     ,0.008601892064827957
country_FRA                   ,0.007051976565867887
country_AUS                   ,0.006065605341285189
year_1990                     ,0.0059973458888895265
year_2005                     ,0.005848414600201744
country_NPL                   ,0.005167677721435983
year_2000                     ,0.00458532604559483
year_1980                     ,0.00428559689403625
country_CAN                   ,0.003682395232907528
country_MMR                   ,0.003441047485360849
year_1995                     ,0.0034074454792855507
country_ZAF                   ,0.003246409398834836
year_1975                     ,0.0029016077695769886
year_1970                     ,0.002293264109004164
country_THA                   ,0.002196815098778587
country_TUR                   ,0.0021668194825258955
year_1985                     ,0.00216321383273657
year_1965                     ,0.001758045689033421
country_VNM                   ,0.0016066905245902244
country_MOZ                   ,0.00156060835224804
country_SGP                   ,0.0014684898396362294
country_MYS                   ,0.0014166562384173
year_1960                     ,0.001379725133178035
country_IDN                   ,0.0013119125872551787
country_MAR                   ,0.0013107006228284012
country_COD                   ,0.0011984476545926308
country_ROU                   ,0.0010235784617330082
country_IRN                   ,0.0010231347103999732
country_AGO                   ,0.0009320290312819559
country_ETH                   ,0.0009056089625501895
country_PAK                   ,0.0008703850566312176
country_JPN                   ,0.0008302627702692619
country_IND                   ,0.0008097062270592109
country_IRQ                   ,0.0007581586289309542
country_GRC                   ,0.0007321320045130668
country_PER                   ,0.0007268802712600576
country_HKG                   ,0.0006412884597718746
country_NGA                   ,0.0005900793244227136
country_COL                   ,0.0004727501966113736
country_LBN                   ,0.00045642763441610404
country_PRT                   ,0.0004424871129301084
country_ZWE                   ,0.00042243188919260244
country_BDI                   ,0.00041100328039307693
country_KWT                   ,0.0004103581420878188
country_CIV                   ,0.00040761428909354
country_ISR                   ,0.00039393198639716163
country_TZA                   ,0.0003872348990680253
country_LKA                   ,0.00032436543474746287
country_RWA                   ,0.00030834984062029725
country_ARG                   ,0.00027188318044316936
country_KHM                   ,0.00026850794613649263
country_CHN                   ,0.0002621799356365003
country_SLV                   ,0.00025313824503235506
country_LBR                   ,0.00023594816669628862
country_ERI                   ,0.00022896356573836278
country_BRA                   ,0.000223053228582827
country_UGA                   ,0.00020523431112621815
country_GTM                   ,0.00020293478586308258
country_GHA                   ,0.0001879830928075418
country_SWE                   ,0.0001740429853450819
country_NLD                   ,0.0001735983191952272
country_CHL                   ,0.00017060038714953525
country_ALB                   ,0.00015709039065336228
country_CHE                   ,0.00014627690989033415
country_YEM                   ,0.00014174497180943012
country_POL                   ,0.00013964739222622596
country_OMN                   ,0.00012535593026725278
country_BEL                   ,0.00011800903761263149
country_JAM                   ,0.00011230604920979981
country_ARE                   ,0.00010871190327462583
country_GNQ                   ,9.452453454700412e-05
country_UZB                   ,9.374823163600366e-05
country_PSE                   ,8.642229816363272e-05
country_JOR                   ,7.950750653748502e-05
country_KOR                   ,7.562294507831826e-05
country_GIN                   ,7.361291412671718e-05
country_SOM                   ,7.050423331545737e-05
country_SLE                   ,6.761845428449625e-05
country_CAF                   ,6.585856233319098e-05
country_TJK                   ,6.544511885902879e-05
country_NIC                   ,6.519460844315098e-05
country_TUN                   ,5.9998912640675926e-05
country_KGZ                   ,5.835527695815842e-05
country_CUB                   ,5.646725657208945e-05
country_ARM                   ,5.316504311722833e-05
country_UKR                   ,5.147865410843097e-05
country_SYR                   ,4.8596840345357374e-05
country_DZA                   ,4.799546087737618e-05
country_QAT                   ,4.5388327878702135e-05
country_SEN                   ,4.389929107015875e-05
country_LAO                   ,4.3665969786973575e-05
country_AUT                   ,4.358509378552261e-05
country_PRK                   ,4.343029337967617e-05
country_TCD                   ,4.17882823701202e-05
country_IRL                   ,3.787617590353502e-05
country_VEN                   ,3.612988540749783e-05
country_BFA                   ,3.488948811236566e-05
country_KEN                   ,3.281253958650962e-05
country_TGO                   ,3.1742709623775914e-05
country_EGY                   ,3.115308126619897e-05
country_BGR                   ,3.103436679206481e-05
country_GUY                   ,2.992067798269757e-05
country_CMR                   ,2.8472380974603672e-05
country_CZE                   ,2.5024208591108266e-05
country_PRI                   ,2.3372162740602094e-05
country_ZMB                   ,2.2867108017107896e-05
country_CRI                   ,2.2136977983886677e-05
country_NZL                   ,2.2010152179179825e-05
country_PRY                   ,1.8870969074412506e-05
country_MLI                   ,1.8066546113049723e-05
country_BIH                   ,1.5301151841125266e-05
country_BEN                   ,1.4010279318961838e-05
country_NER                   ,1.389664473912906e-05
country_HND                   ,1.3561515176177583e-05
country_COG                   ,1.3136511404940098e-05
country_URY                   ,1.295203035360986e-05
country_BLR                   ,1.2733184616199581e-05
country_ECU                   ,1.224436876568746e-05
country_HUN                   ,1.1327248342729932e-05
country_LSO                   ,1.1036771690979813e-05
country_AZE                   ,1.0288914956199408e-05
country_SRB                   ,9.684247055110055e-06
country_PNG                   ,9.610120092892236e-06
country_MWI                   ,9.200296709414203e-06
country_KAZ                   ,8.940021346777769e-06
country_LBY                   ,8.86845290659276e-06
country_HRV                   ,7.824507229438486e-06
country_LVA                   ,7.366008750690423e-06
country_LTU                   ,7.264145002521685e-06
country_BHR                   ,6.99082158312872e-06
country_DOM                   ,6.819499733141821e-06
country_GAB                   ,6.806791961870113e-06
country_NOR                   ,6.682129369903886e-06
country_BWA                   ,6.6622034856818e-06
country_BOL                   ,6.422604043193277e-06
country_HTI                   ,5.381667289321781e-06
country_CYP                   ,5.336367184071102e-06
country_MDG                   ,5.162334300673877e-06
country_LUX                   ,5.026818628481769e-06
country_FIN                   ,4.827226935889921e-06
country_SVK                   ,4.604469902260057e-06
country_DNK                   ,4.442208273634896e-06
country_SVN                   ,4.329085474469512e-06
country_GRD                   ,4.058396202722814e-06
country_EST                   ,3.845225985788031e-06
country_GMB                   ,3.8074422691924947e-06
country_TKM                   ,3.545455825151342e-06
country_TTO                   ,3.439634540766564e-06
country_MNG                   ,3.4362518576950534e-06
country_MDA                   ,3.163800759108654e-06
country_GNB                   ,2.479298268702117e-06
country_TLS                   ,2.126761009152192e-06
country_GEO                   ,1.9335308651547803e-06
country_CPV                   ,1.924138494642706e-06
country_SUR                   ,1.7059893874681636e-06
country_NAM                   ,1.5495862595418554e-06
country_FJI                   ,1.4994216426603606e-06
country_MUS                   ,1.4882793354988278e-06
country_PAN                   ,1.341078339780731e-06
country_MRT                   ,1.3393509488459892e-06
country_DJI                   ,1.2788523282536936e-06
country_WSM                   ,1.2379348928302498e-06
country_BRN                   ,1.1602345611967048e-06
country_BTN                   ,9.368670894793218e-07
country_SWZ                   ,9.010399477472694e-07
country_MDV                   ,8.783934011112907e-07
country_TON                   ,5.201187228118426e-07
country_FSM                   ,5.005600068514051e-07
country_BHS                   ,4.742261814268079e-07
country_MLT                   ,3.9805358166125354e-07
country_ABW                   ,3.912266141328034e-07
country_SLB                   ,3.777155873817681e-07
country_ATG                   ,3.652403692827072e-07
country_MKD                   ,2.546171340808778e-07
country_COM                   ,2.38784036223939e-07
country_BLZ                   ,1.8060419304909287e-07
country_ISL                   ,1.4405703297299716e-07
country_NCL                   ,1.1140617967005976e-07
country_PYF                   ,1.0737483114133407e-07
country_VIR                   ,1.0418324537364618e-07
country_VCT                   ,6.303110879658876e-08
country_MNE                   ,6.14442994875241e-08
country_LCA                   ,4.870432297147121e-08
country_SYC                   ,3.646026493771744e-08
country_STP                   ,2.97228733874701e-08
country_BRB                   ,2.283279303850694e-08
country_VUT                   ,1.7365772551827028e-08
country_GUM                   ,1.659091198140634e-08
country_KIR                   ,7.959419924187454e-09
