,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
AFG,13.096678,13.309858,12.064352,12.619226,12.437119,12.978949,12.276689,12.527205,12.797849,12.057898,12.295179,12.9023695,12.642592,13.308415,13.922549,12.5204525,13.175219,11.86811,12.038753,11.508769,12.502941,12.974073,11.935648,12.171977,12.666531,12.733714,12.74055,12.42903,12.05896,12.016857,12.070452,12.387337,12.473448,11.963971,11.976525,12.653677,12.071296,12.760702,12.860594,13.448639,14.052069,13.079549,12.422548,13.028513,12.348366,13.111139,13.688725,12.964951,11.965741,11.52146,12.672467,12.815332,13.340495,12.314188,13.218355,12.726471,11.457108,13.281781,12.710267,12.427369,12.881208,12.499809,13.515714,11.882081,12.775789,13.063208,12.516421,12.444172,12.364134,13.470589,13.594363,11.218818,12.871515,12.071978,12.195915,12.503267,13.542892,13.097303,12.992266,13.331482,13.356209,12.302015,13.343791,12.90531,13.397577,12.7904415,13.479494,14.105202,12.698202,13.576281,13.151906,12.627124,12.980337,13.100027,13.025299,12.583796,12.90226,13.209804,14.076879,13.710948,14.407163,14.278839,13.816203,14.669527,14.107597,14.277315,14.124646,14.249019,14.222303,14.189791,13.727007,13.095462
ALA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALB,10.832,11.086333,11.235,11.242333,11.009,10.767333,10.758333,10.35,10.913,11.267667,10.931334,10.523333,10.834333,10.428333,11.299666,11.756,10.955667,10.911,11.016333,11.157667,11.0,11.127666,11.909333,10.833,11.191,11.740667,12.167334,11.582334,10.7543335,11.673333,11.247334,11.233999,10.408,11.837999,11.366333,11.605666,11.854334,11.217,11.412001,10.3220005,10.641333,11.166,11.863333,11.140667,11.703,12.076667,12.085333,11.276334,11.014334,12.294666,12.0529995,12.1970005,10.970667,10.885667,11.572667,10.722667,11.563,11.514,10.724,11.623333,11.762334,11.552667,11.595667,11.092,10.880334,11.657,11.164667,11.258333,11.148333,11.12,11.007334,11.046333,10.944666,10.960667,10.971666,10.382667,11.518,10.608334,11.431334,10.493334,11.077333,11.459666,10.946,10.888333,11.236334,11.466333,11.344334,11.681334,11.1536665,11.832,10.891666,11.243334,11.404,12.274667,11.097334,11.089334,11.460333,11.823,12.233667,12.265667,12.119333,12.284666,12.063,11.703667,11.187,11.355666,12.193334,12.317667,12.237,12.636806,12.332987,12.861458
DZA,22.460234,22.517385,22.276083,22.407259,22.348454,22.148605,22.102077,22.16496,22.238441,22.235573,22.21719,22.200418,22.399698,22.343853,21.83144,21.566425,21.476254,21.475649,22.163086,22.375257,22.130703,22.073284,21.609905,22.477861,21.427418,22.549654,22.406805,22.52102,22.091133,22.834843,22.864801,21.86298,22.30763,21.759525,22.506264,22.493877,23.056547,22.762037,22.376936,22.588184,22.934925,23.239801,22.675303,22.54768,22.858805,22.832365,22.792892,22.557383,22.88789,22.318043,22.705189,22.657063,22.373365,22.060207,23.242964,22.034843,22.048855,22.8434,22.784576,22.569164,22.692022,22.353617,22.467262,22.41903,22.295282,22.748596,22.245832,22.529123,22.524414,22.671934,22.064268,22.06147,22.194126,21.773792,21.94108,21.58868,22.761639,22.581982,22.866283,22.574245,22.725409,22.744251,22.898676,22.470318,22.736326,22.513174,23.361345,23.012518,23.069536,23.393478,22.292164,22.18122,22.81975,23.12651,23.126225,23.07819,23.357418,23.422085,23.37166,23.381184,23.880562,23.506138,23.738379,23.267324,23.467333,23.394224,23.385633,23.138948,23.67931,24.109623,23.635357,23.576384
ASM,26.241665,26.225,26.016666,25.775,25.85,26.258335,25.791666,25.85,25.633335,25.725,26.233334,26.566666,26.408335,26.633335,26.091665,25.891666,25.775,25.858334,26.608334,26.583334,26.325,26.458334,26.125,26.441666,26.241665,26.616665,26.691666,26.525,26.458334,26.533335,26.216665,26.383335,25.983334,26.1,26.358334,26.266666,26.375,26.283335,26.116665,26.516666,26.783335,26.558334,26.4,26.391666,26.425,26.525,26.775,26.466665,26.591665,26.291666,26.525,26.816666,26.775,26.608334,26.325,26.225,26.55,26.683334,26.908335,26.775,26.55,26.491665,26.583334,26.583334,26.291666,26.625,26.025,26.391666,26.458334,26.375,25.966665,26.491665,26.825,26.191666,26.416666,26.241665,26.675,26.491665,26.691666,26.858334,26.566666,26.716665,26.766666,26.716665,26.758335,26.841665,26.783335,26.983334,26.625,27.008335,26.833334,26.883335,26.758335,26.675,27.933334,27.908335,27.716665,28.441666,27.383335,27.8,28.058334,28.4,27.75,27.458334,27.875,27.575,28.158335,27.491665,27.525,,,
AND,7.060416,7.439584,7.525,7.9625,7.247916,7.5375,7.3375,7.5833335,6.96875,7.3229165,8.033334,7.40625,7.93125,7.3333335,7.3020835,7.78125,6.9104166,7.28125,6.9625,7.3354163,8.079166,7.3395834,8.383333,8.1375,7.1,8.9625,8.822916,9.104166,8.525,8.741667,8.44375,8.179167,8.470834,8.839583,7.40625,7.5354166,8.5375,7.2770834,7.275,8.014584,7.6479163,8.247916,8.989584,8.072916,8.870833,8.16875,9.108334,8.764584,8.414583,8.058333,7.9729166,8.8,8.372916,7.78125,8.772917,7.49375,7.8791666,8.497916,8.604166,8.291666,9.060416,7.86875,7.4625,8.4125,8.083334,8.666666,8.616667,8.466666,7.9166665,8.485416,8.266666,7.9270835,8.235416,8.166666,8.239584,8.333334,8.233334,7.9625,8.15625,7.5833335,8.522917,9.16875,8.7875,7.8208337,7.970834,8.322916,8.522917,8.683333,9.3375,9.297916,8.454166,8.4125,8.28125,9.43125,9.433333,8.860416,9.86875,9.127084,9.2625,9.460417,9.289583,9.410417,9.83125,9.170834,8.710417,9.85,9.19375,9.127084,9.627084,,,
AGO,21.619059,21.620358,21.761902,21.58768,21.658384,21.613375,21.520582,21.585794,21.53252,21.496952,21.641684,21.679262,21.634441,21.658785,21.624342,21.598059,21.61639,21.407848,21.538532,21.59936,21.628864,21.769075,21.619438,21.56781,21.447851,21.566181,21.535862,21.682207,21.64002,21.56554,21.821136,21.672644,21.745495,21.768625,21.638184,21.486174,21.432537,21.681652,21.8149,22.069733,22.27015,22.173094,21.872784,22.00577,21.851698,21.660206,21.663929,21.510517,22.249168,21.786556,21.658922,21.845427,21.398615,21.481255,21.49281,21.399654,21.768435,21.67429,21.759113,21.664051,21.423544,21.33756,21.408646,21.3263,21.420738,21.643902,21.408247,21.418781,21.68633,21.664814,21.619076,21.577217,21.839762,21.448753,21.644716,21.394058,21.869717,21.791233,21.815645,21.766216,21.738047,21.741909,21.937855,21.893764,21.892447,21.687351,22.215004,22.019785,21.69125,21.979053,21.874393,22.063202,21.959044,21.888203,22.17209,22.032692,22.382381,22.44191,21.820635,21.878847,22.038565,22.204054,22.306652,21.971205,22.600658,21.747938,21.713825,21.680838,22.04929,22.318493,21.894283,21.859505
AIA,25.175,24.891666,25.125,24.675,24.941668,24.858334,24.625,25.008333,24.675,24.7,24.783333,25.1,24.491667,24.7,25.091667,24.625,24.466667,24.441668,24.666668,24.741667,24.675,24.641666,24.6,24.95,24.825,24.983334,24.691668,24.733334,24.566668,24.916668,25.466667,25.308332,25.15,24.958332,24.791668,25.083332,25.291668,24.733334,24.891666,25.466667,25.425,25.583332,25.008333,25.016666,24.733334,24.841667,25.175,25.45,25.058332,24.758333,25.133333,24.991667,25.025,24.866667,25.108334,24.933332,25.283333,25.766666,25.55,25.608334,25.433332,25.383333,25.575,25.75,25.475,25.675,25.208332,25.616665,25.966665,25.741665,25.3,25.316668,25.3,25.325,25.25,25.241667,25.683334,25.575,25.441668,25.95,25.65,25.2,26.0,25.516666,25.758335,25.808334,26.216665,26.008335,25.708334,26.191666,26.366665,26.225,26.458334,26.333334,26.333334,26.033335,26.075,26.541666,25.991665,25.883335,26.258335,26.15,25.983334,25.616665,26.008335,25.816666,25.975,25.45,25.883335,,,
ATA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATG,25.691666,25.479168,25.658335,25.275,25.5125,25.445833,25.25,25.566668,25.279167,25.308332,25.370832,25.65,25.104168,25.304167,25.641666,25.266666,25.1,25.075,25.291668,25.35,25.270832,25.254168,25.204166,25.495832,25.3875,25.545834,25.291668,25.3375,25.191668,25.5,25.95,25.833334,25.683334,25.508333,25.441668,25.691666,25.866665,25.345833,25.541668,26.1,26.066666,26.1625,25.629166,25.695835,25.425,25.516666,25.8625,25.9875,25.691666,25.445833,25.6375,25.470833,25.545834,25.395832,25.525,25.445833,25.670834,26.020834,25.670834,25.775,25.6875,25.654165,25.879166,25.791666,25.770834,26.0875,25.720835,25.825,26.254166,26.108334,25.7,25.8375,25.970835,25.65,25.633335,25.5875,26.0625,26.158335,26.316666,26.7625,26.45,25.979166,26.7125,26.141666,26.291666,26.316666,26.883335,26.5875,26.241665,26.65,26.854166,26.883335,26.970835,26.783335,26.9625,26.704166,27.041666,27.4125,26.8625,26.7875,27.133335,26.979166,26.7625,26.329166,26.720835,26.45,26.525,25.95,26.320835,,,
